user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
EHA01958_bin.11	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	92.51	11	0.93516	N/A
EHA01958_bin.114	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Rhodoblastus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Rhodoblastus;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	84.87	11	0.98581	N/A
EHA01958_bin.119	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Dwaynesavagella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Dwaynesavagella;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	91.02	11	0.98787	N/A
EHA01958_bin.132	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pseudoflavonifractor_A;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pseudoflavonifractor_A;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	86.51	11	0.9807	N/A
EHA01958_bin.195	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp963560095	GCA_963560095.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp963560095	96.49	0.805	GCA_963560095.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp963560095	96.49	0.805	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	86.89	11	N/A	N/A
EHA01958_bin.199	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__JAAYXM01;g__RGIG7332;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__JAAYXM01;g__RGIG7332;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	87.84	11	0.94111	N/A
EHA01958_bin.200	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Merdivicinus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Merdivicinus;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	84.77	11	0.98062	N/A
EHA01958_bin.206	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Hathewaya;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Hathewaya;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	75.21	11	0.99553	N/A
EHA01958_bin.207	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	94.59	11	0.86486	N/A
EHA01958_bin.208	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_H;s__Clostridium_H novyi	GCF_000014125.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_H;s__Clostridium_H novyi	96.81	0.774	GCF_000014125.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_H;s__Clostridium_H novyi	96.81	0.774	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_H;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_017100085.1, s__Clostridium_H botulinum_A, 95.18, 84.52, 0.161; GCF_003614235.1, s__Clostridium_H haemolyticum, 95.0, 84.56, 0.166; GCF_000204565.1, s__Clostridium_H botulinum_B, 95.0, 84.1, 0.169; GCF_900176615.1, s__Clostridium_H massiliodielmoense, 95.0, 90.86, 0.616	88.14	11	N/A	N/A
EHA01958_bin.231	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	67.7	11	0.92836	N/A
EHA01958_bin.25	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__MOL361;f__Turicibacteraceae;g__Turicibacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__MOL361;f__Turicibacteraceae;g__Turicibacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	73.31	11	0.98328	N/A
EHA01958_bin.40	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	GCF_001314995.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	97.2	0.726	GCF_001314995.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	97.2	0.726	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_947038155.1, s__Bacteroides sp947038155, 95.0, 83.81, 0.154; GCF_034291875.1, s__Bacteroides vicugnae, 95.0, 92.66, 0.546; GCA_948579315.1, s__Phocaeicola sp948579315, 95.0, 89.51, 0.21; GCA_019117555.1, s__Bacteroides intestinigallinarum, 95.0, 94.12, 0.604; GCF_012113595.1, s__Bacteroides faecium, 95.0, 84.09, 0.17; GCF_002632415.2, s__Bacteroides sp019412865, 95.06, 95.05, 0.625; GCF_014750685.1, s__Bacteroides sp014750685, 95.0, 83.89, 0.173; GCF_900130125.1, s__Bacteroides congonensis, 95.0, 84.2, 0.177; GCA_030295565.1, s__Bacteroides finegoldii, 95.0, 86.41, 0.199; GCF_000210075.1, s__Bacteroides xylanisolvens, 95.0, 91.64, 0.512; GCF_903181435.1, s__Bacteroides sp900765785, 95.0, 83.84, 0.16; GCA_052357945.1, s__Bacteroides sp052357945, 95.0, 94.73, 0.59; GCF_001688725.2, s__Bacteroides caecimuris, 95.89, 88.2, 0.342; GCA_900755095.1, s__Bacteroides sp900755095, 95.0, 96.85, 0.559; GCF_009193325.2, s__Bacteroides zhangwenhongii, 95.83, 85.82, 0.182; GCF_009193295.2, s__Bacteroides luhongzhouii, 95.0, 90.76, 0.52; GCA_046986985.1, s__Bacteroides xylanisolvens_C, 95.0, 90.67, 0.346; GCF_024623065.1, s__Bacteroides acidifaciens, 95.0, 84.82, 0.188; GCF_041227145.1, s__Bacteroides sp041227145, 95.0, 87.04, 0.31; GCA_948742525.1, s__Bacteroides caecimuris_A, 95.0, 88.71, 0.401	70.38	11	N/A	N/A
EHA01958_bin.51	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus_B;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus_B;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	88.54	11	0.99666	N/A
EHA01958_bin.74	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__CALDMQ01;s__CALDMQ01 sp937917505	GCA_937917505.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__CALDMQ01;s__CALDMQ01 sp937917505	97.85	0.841	GCA_937917505.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__CALDMQ01;s__CALDMQ01 sp937917505	97.85	0.841	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	91.74	11	N/A	N/A
EHA01958_bin.94	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Acholeplasmatales;f__Anaeroplasmataceae;g__CALUXS01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Acholeplasmatales;f__Anaeroplasmataceae;g__CALUXS01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	86.79	11	0.91003	N/A
EHA05610_bin.38	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Acholeplasmatales;f__Anaeroplasmataceae;g__CALUXS01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Acholeplasmatales;f__Anaeroplasmataceae;g__CALUXS01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	87.52	11	0.91007	N/A
EHA05610_bin.68	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter sp945900015	GCA_945900015.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter sp945900015	98.02	0.778	GCA_945900015.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter sp945900015	98.02	0.778	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_934725835.1, s__Odoribacter sp934725835, 95.0, 85.22, 0.179; GCA_020024465.1, s__Odoribacter sp020024465, 95.0, 83.5, 0.214	96.77	11	N/A	N/A
EHA05610_bin.71	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp937890525	GCA_937890525.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp937890525	97.15	0.852	GCA_937890525.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp937890525	97.15	0.852	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	73.75	11	N/A	N/A
EHA05610_bin.73	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	84.45	11	0.99688	N/A
EHA05610_bin.85	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	GCF_003697165.2	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	97.82	0.844	GCF_003697165.2	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	97.82	0.844	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_047199055.1, s__ECMA0423 sp047199055, 95.0, 96.45, 0.752; GCF_036503815.1, s__Escherichia coli_F, 95.84, 96.12, 0.812; GCF_000759775.1, s__Escherichia albertii, 95.0, 90.56, 0.515; GCF_004211955.1, s__Escherichia sp004211955, 95.0, 93.09, 0.664; GCF_902498915.1, s__Escherichia ruysiae, 95.0, 92.84, 0.678; GCF_002900365.1, s__Escherichia marmotae, 95.0, 91.12, 0.613; GCA_041890495.1, s__Escherichia boydii, 95.0, 96.73, 0.438; GCA_042434945.1, s__Escherichia hormaechei_A, 95.0, 96.89, 0.443; GCA_011881725.1, s__Escherichia coli_E, 95.0, 92.35, 0.661; GCF_000026225.1, s__Escherichia fergusonii, 95.0, 92.84, 0.471; GCF_002965065.1, s__Escherichia sp002965065, 95.0, 94.47, 0.634; GCA_047199115.1, s__G047199115 sp047199115, 95.0, 94.92, 0.565; GCA_047199095.1, s__G047199095 sp047199095, 95.0, 95.67, 0.79; GCA_048288485.1, s__Enterobacter flexneri_A, 95.0, 95.71, 0.807; GCF_014836715.1, s__Escherichia whittamii, 95.0, 91.86, 0.666; GCA_048288465.1, s__Enterobacter flexneri_B, 95.0, 94.69, 0.702; GCF_005843885.1, s__Escherichia sp005843885, 95.0, 92.95, 0.688	89.52	11	N/A	N/A
EHA05610_bin.94	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Otoolea;s__Otoolea sp027698105	GCA_027698105.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Otoolea;s__Otoolea sp027698105	96.46	0.758	GCA_027698105.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Otoolea;s__Otoolea sp027698105	96.46	0.758	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Otoolea;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_018223375.1, s__Otoolea sp000435655, 95.0, 89.94, 0.261; GCA_958442925.1, s__Otoolea sp958442925, 95.0, 93.71, 0.46; GCA_018377235.1, s__Otoolea sp018377235, 95.0, 88.36, 0.199	73.15	11	N/A	N/A
EHA05615_bin.110	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	GCF_016027375.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	98.0	0.858	GCF_016027375.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	98.0	0.858	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_050509515.1, s__Sarcina sp050509515, 95.0, 87.63, 0.195; GCF_034439435.1, s__Sarcina sp034439435, 95.0, 89.36, 0.356; GCF_029258205.1, s__Sarcina sp029258205, 95.0, 93.25, 0.596; GCA_034421775.1, s__Sarcina perfringens_B, 95.0, 89.69, 0.355; GCF_029267215.1, s__Sarcina sp029267215, 95.0, 87.34, 0.15	86.75	11	N/A	N/A
EHA05615_bin.118	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paraclostridium;s__Paraclostridium tenue	GCF_039521565.1	95.02	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paraclostridium;s__Paraclostridium tenue	97.94	0.89	GCF_039521565.1	95.02	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paraclostridium;s__Paraclostridium tenue	97.94	0.89	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paraclostridium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_001006285.1, s__Paraclostridium benzoelyticum, 95.0, 85.3, 0.188; GCF_012922555.1, s__Paraclostridium dentum, 95.01, 85.39, 0.205; GCF_014306135.1, s__Paraclostridium hominis, 95.0, 95.23, 0.82; GCF_051657365.1, s__Paraclostridium sp051657365, 95.0, 87.11, 0.278; GCF_019916025.1, s__Paraclostridium bifermentans, 96.17, 85.15, 0.206; GCF_000953675.1, s__Paraclostridium sordellii, 95.0, 87.64, 0.302; GCF_964259345.1, s__Paraclostridium bifermentans_B, 95.0, 86.64, 0.247; GCF_051656405.1, s__Paraclostridium sp051656405, 95.7, 85.1, 0.169; GCF_030815085.1, s__Paraclostridium ghonii, 95.0, 85.15, 0.178	69.4	11	N/A	N/A
EHA05615_bin.21	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	90.28	11	0.90428	N/A
EHA05615_bin.30	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Otoolea;s__Otoolea sp027698105	GCA_027698105.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Otoolea;s__Otoolea sp027698105	96.95	0.826	GCA_027698105.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Otoolea;s__Otoolea sp027698105	96.95	0.826	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Otoolea;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_018377235.1, s__Otoolea sp018377235, 95.0, 89.23, 0.188; GCA_018223375.1, s__Otoolea sp000435655, 95.0, 89.71, 0.252; GCA_958442925.1, s__Otoolea sp958442925, 95.0, 94.23, 0.484	65.71	11	N/A	Genome has more than 11.7% of markers with multiple hits
EHA05615_bin.37	d__Bacteria;p__Spirochaetota;c__Brachyspiria;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Brachyspiria;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	90.8	11	0.98595	N/A
EHA05615_bin.45	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Fimiplasma;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Fimiplasma;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	92.3	11	0.88676	N/A
EHA05615_bin.86	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	82.55	11	0.99635	N/A
EHA05620_bin.26	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Mycoplasmoides;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Mycoplasmoides;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	69.06	4	0.90631	N/A
EHA05620_bin.4	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp963560135	GCA_963560135.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp963560135	96.27	0.853	GCA_963560135.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp963560135	96.27	0.853	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	81.22	11	N/A	N/A
EHA05620_bin.63	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerofilum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerofilum;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	97.58	11	0.98806	N/A
EHA05620_bin.81	d__Bacteria;p__Chrysiogenota;c__Deferribacteres;o__Deferribacterales;f__Mucispirillaceae;g__Mucispirillum;s__Mucispirillum sp937890655	GCA_937890655.1	95.0	d__Bacteria;p__Chrysiogenota;c__Deferribacteres;o__Deferribacterales;f__Mucispirillaceae;g__Mucispirillum;s__Mucispirillum sp937890655	97.93	0.829	GCA_937890655.1	95.0	d__Bacteria;p__Chrysiogenota;c__Deferribacteres;o__Deferribacterales;f__Mucispirillaceae;g__Mucispirillum;s__Mucispirillum sp937890655	97.93	0.829	d__Bacteria;p__Chrysiogenota;c__Deferribacteres;o__Deferribacterales;f__Mucispirillaceae;g__Mucispirillum;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	96.13	11	N/A	N/A
EHA05620_bin.87	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paraclostridium;s__Paraclostridium tenue	GCF_039521565.1	95.02	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paraclostridium;s__Paraclostridium tenue	97.99	0.9	GCF_039521565.1	95.02	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paraclostridium;s__Paraclostridium tenue	97.99	0.9	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paraclostridium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_051656405.1, s__Paraclostridium sp051656405, 95.7, 83.99, 0.176; GCF_000953675.1, s__Paraclostridium sordellii, 95.0, 86.62, 0.32; GCF_030815085.1, s__Paraclostridium ghonii, 95.0, 83.53, 0.182; GCA_017425305.1, s__Paraclostridium sp017425305, 95.0, 85.61, 0.163; GCF_001006285.1, s__Paraclostridium benzoelyticum, 95.0, 84.7, 0.199; GCF_012922555.1, s__Paraclostridium dentum, 95.01, 84.04, 0.216; GCF_014306135.1, s__Paraclostridium hominis, 95.0, 95.0, 0.812; GCF_019916025.1, s__Paraclostridium bifermentans, 96.17, 84.08, 0.206; GCF_964259345.1, s__Paraclostridium bifermentans_B, 95.0, 85.3, 0.266; GCF_051657365.1, s__Paraclostridium sp051657365, 95.0, 85.5, 0.296	69.12	11	N/A	N/A
EHA05625_bin.117	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	GCF_016027375.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	98.27	0.936	GCF_016027375.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina perfringens	98.27	0.936	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_029267215.1, s__Sarcina sp029267215, 95.0, 88.52, 0.205; GCF_034439435.1, s__Sarcina sp034439435, 95.0, 90.31, 0.466; GCA_034421775.1, s__Sarcina perfringens_B, 95.0, 90.57, 0.478; GCF_050509515.1, s__Sarcina sp050509515, 95.0, 88.79, 0.275; GCF_029258205.1, s__Sarcina sp029258205, 95.0, 93.94, 0.678	84.69	11	N/A	N/A
EHA05625_bin.30	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Metalachnospira;s__Metalachnospira sp900548595	GCA_900548595.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Metalachnospira;s__Metalachnospira sp900548595	99.27	0.923	GCA_900548595.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Metalachnospira;s__Metalachnospira sp900548595	99.27	0.923	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Metalachnospira;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	71.1	11	N/A	N/A
